heterozygotes_survival_rate,resistance_rate,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,generation_to_suppression,type
0.025,0.5,1.5,0.5,6.0,linear,76.700,recessivelethal
0.050,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.050,0.5,0.0,0.5,6.0,linear,NAN,recessivelethal
0.050,0.5,0.025,0.5,6.0,linear,NAN,haplolethal
0.050,0.5,0.05,0.5,6.0,linear,NAN,haplolethal
0.050,0.5,0.075,0.5,6.0,linear,NAN,haplolethal
0.050,0.5,0.075,0.5,6.0,linear,NAN,recessivelethal
0.050,0.5,0.1,0.5,6.0,linear,NAN,haplolethal
0.050,0.5,0.125,0.5,6.0,linear,NAN,haplolethal
0.050,0.5,0.15,0.5,6.0,linear,NAN,haplolethal
0.050,0.5,0.15,0.5,6.0,linear,NAN,recessivelethal
0.050,0.5,0.175,0.5,6.0,linear,NAN,haplolethal
0.050,0.5,0.2,0.5,6.0,linear,NAN,haplolethal
0.050,0.5,0.225,0.5,6.0,linear,NAN,haplolethal
0.050,0.5,0.225,0.5,6.0,linear,NAN,recessivelethal
0.050,0.5,0.25,0.5,6.0,linear,263.250,haplolethal
0.050,0.5,0.275,0.5,6.0,linear,186.350,haplolethal
0.050,0.5,0.3,0.5,6.0,linear,152.600,haplolethal
0.050,0.5,0.3,0.5,6.0,linear,NAN,recessivelethal
0.050,0.5,0.325,0.5,6.0,linear,132.500,haplolethal
0.050,0.5,0.35,0.5,6.0,linear,117.800,haplolethal
0.050,0.5,0.375,0.5,6.0,linear,106.700,haplolethal
0.050,0.5,0.375,0.5,6.0,linear,NAN,recessivelethal
0.050,0.5,0.4,0.5,6.0,linear,100.450,haplolethal
0.050,0.5,0.425,0.5,6.0,linear,93.600,haplolethal
0.050,0.5,0.45,0.5,6.0,linear,88.350,haplolethal
0.050,0.5,0.45,0.5,6.0,linear,NAN,recessivelethal
0.050,0.5,0.475,0.5,6.0,linear,83.900,haplolethal
0.050,0.5,0.5,0.5,6.0,linear,80.550,haplolethal
0.050,0.5,0.525,0.5,6.0,linear,NAN,recessivelethal
0.050,0.5,0.6,0.5,6.0,linear,NAN,recessivelethal
0.050,0.5,0.675,0.5,6.0,linear,NAN,recessivelethal
0.050,0.5,0.75,0.5,6.0,linear,NAN,recessivelethal
0.050,0.5,0.825,0.5,6.0,linear,NAN,recessivelethal
0.050,0.5,0.9,0.5,6.0,linear,NAN,recessivelethal
0.050,0.5,0.975,0.5,6.0,linear,202.600,recessivelethal
0.050,0.5,1.05,0.5,6.0,linear,139.850,recessivelethal
0.050,0.5,1.125,0.5,6.0,linear,114.150,recessivelethal
0.050,0.5,1.2,0.5,6.0,linear,100.150,recessivelethal
0.050,0.5,1.275,0.5,6.0,linear,90.350,recessivelethal
0.050,0.5,1.35,0.5,6.0,linear,84.450,recessivelethal
0.050,0.5,1.425,0.5,6.0,linear,78.050,recessivelethal
0.050,0.5,1.5,0.5,6.0,linear,73.750,recessivelethal
0.075,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.075,0.5,0.0,0.5,6.0,linear,NAN,recessivelethal
0.075,0.5,0.025,0.5,6.0,linear,NAN,haplolethal
0.075,0.5,0.05,0.5,6.0,linear,NAN,haplolethal
0.075,0.5,0.075,0.5,6.0,linear,NAN,haplolethal
0.075,0.5,0.075,0.5,6.0,linear,NAN,recessivelethal
0.075,0.5,0.1,0.5,6.0,linear,NAN,haplolethal
0.075,0.5,0.125,0.5,6.0,linear,NAN,haplolethal
0.075,0.5,0.15,0.5,6.0,linear,NAN,haplolethal
0.075,0.5,0.15,0.5,6.0,linear,NAN,recessivelethal
0.075,0.5,0.175,0.5,6.0,linear,NAN,haplolethal
0.075,0.5,0.2,0.5,6.0,linear,245.550,haplolethal
0.075,0.5,0.225,0.5,6.0,linear,180.000,haplolethal
0.075,0.5,0.225,0.5,6.0,linear,NAN,recessivelethal
0.075,0.5,0.25,0.5,6.0,linear,149.400,haplolethal
0.075,0.5,0.275,0.5,6.0,linear,129.150,haplolethal
0.075,0.5,0.3,0.5,6.0,linear,116.650,haplolethal
0.075,0.5,0.3,0.5,6.0,linear,NAN,recessivelethal
0.075,0.5,0.325,0.5,6.0,linear,106.500,haplolethal
0.075,0.5,0.35,0.5,6.0,linear,99.650,haplolethal
0.075,0.5,0.375,0.5,6.0,linear,92.850,haplolethal
0.075,0.5,0.375,0.5,6.0,linear,NAN,recessivelethal
0.075,0.5,0.4,0.5,6.0,linear,87.400,haplolethal
0.075,0.5,0.425,0.5,6.0,linear,82.150,haplolethal
0.075,0.5,0.45,0.5,6.0,linear,80.500,haplolethal
0.075,0.5,0.45,0.5,6.0,linear,NAN,recessivelethal
0.075,0.5,0.475,0.5,6.0,linear,77.000,haplolethal
0.075,0.5,0.5,0.5,6.0,linear,73.950,haplolethal
0.075,0.5,0.525,0.5,6.0,linear,NAN,recessivelethal
0.075,0.5,0.6,0.5,6.0,linear,NAN,recessivelethal
0.075,0.5,0.675,0.5,6.0,linear,NAN,recessivelethal
0.075,0.5,0.75,0.5,6.0,linear,NAN,recessivelethal
0.075,0.5,0.825,0.5,6.0,linear,NAN,recessivelethal
0.075,0.5,0.9,0.5,6.0,linear,189.050,recessivelethal
0.075,0.5,0.975,0.5,6.0,linear,139.400,recessivelethal
0.075,0.5,1.05,0.5,6.0,linear,114.250,recessivelethal
0.075,0.5,1.125,0.5,6.0,linear,102.100,recessivelethal
0.075,0.5,1.2,0.5,6.0,linear,94.350,recessivelethal
0.075,0.5,1.275,0.5,6.0,linear,86.400,recessivelethal
0.075,0.5,1.35,0.5,6.0,linear,82.450,recessivelethal
0.075,0.5,1.425,0.5,6.0,linear,79.950,recessivelethal
0.075,0.5,1.5,0.5,6.0,linear,74.700,recessivelethal
0.100,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.100,0.5,0.0,0.5,6.0,linear,NAN,recessivelethal
0.100,0.5,0.025,0.5,6.0,linear,NAN,haplolethal
0.100,0.5,0.05,0.5,6.0,linear,NAN,haplolethal
0.100,0.5,0.075,0.5,6.0,linear,NAN,haplolethal
0.100,0.5,0.075,0.5,6.0,linear,NAN,recessivelethal
0.100,0.5,0.1,0.5,6.0,linear,NAN,haplolethal
0.100,0.5,0.125,0.5,6.0,linear,NAN,haplolethal
0.100,0.5,0.15,0.5,6.0,linear,266.700,haplolethal
0.100,0.5,0.15,0.5,6.0,linear,NAN,recessivelethal
0.100,0.5,0.175,0.5,6.0,linear,189.250,haplolethal
0.100,0.5,0.2,0.5,6.0,linear,154.150,haplolethal
0.100,0.5,0.225,0.5,6.0,linear,131.650,haplolethal
0.100,0.5,0.225,0.5,6.0,linear,NAN,recessivelethal
0.100,0.5,0.25,0.5,6.0,linear,118.600,haplolethal
0.100,0.5,0.275,0.5,6.0,linear,107.750,haplolethal
0.100,0.5,0.3,0.5,6.0,linear,99.900,haplolethal
0.100,0.5,0.3,0.5,6.0,linear,NAN,recessivelethal
0.100,0.5,0.325,0.5,6.0,linear,93.600,haplolethal
0.100,0.5,0.35,0.5,6.0,linear,87.650,haplolethal
0.100,0.5,0.375,0.5,6.0,linear,83.400,haplolethal
0.100,0.5,0.375,0.5,6.0,linear,NAN,recessivelethal
0.100,0.5,0.4,0.5,6.0,linear,79.900,haplolethal
0.100,0.5,0.425,0.5,6.0,linear,76.650,haplolethal
0.100,0.5,0.45,0.5,6.0,linear,74.200,haplolethal
0.100,0.5,0.45,0.5,6.0,linear,NAN,recessivelethal
0.100,0.5,0.475,0.5,6.0,linear,71.750,haplolethal
0.100,0.5,0.5,0.5,6.0,linear,68.850,haplolethal
0.100,0.5,0.525,0.5,6.0,linear,NAN,recessivelethal
0.100,0.5,0.6,0.5,6.0,linear,NAN,recessivelethal
0.100,0.5,0.675,0.5,6.0,linear,NAN,recessivelethal
0.100,0.5,0.75,0.5,6.0,linear,NAN,recessivelethal
0.100,0.5,0.825,0.5,6.0,linear,181.400,recessivelethal
0.100,0.5,0.9,0.5,6.0,linear,138.150,recessivelethal
0.100,0.5,0.975,0.5,6.0,linear,117.900,recessivelethal
0.100,0.5,1.05,0.5,6.0,linear,106.400,recessivelethal
0.100,0.5,1.125,0.5,6.0,linear,98.000,recessivelethal
0.100,0.5,1.2,0.5,6.0,linear,90.200,recessivelethal
0.100,0.5,1.275,0.5,6.0,linear,87.850,recessivelethal
0.100,0.5,1.35,0.5,6.0,linear,83.400,recessivelethal
0.100,0.5,1.425,0.5,6.0,linear,81.800,recessivelethal
0.100,0.5,1.5,0.5,6.0,linear,76.300,recessivelethal
0.125,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.125,0.5,0.0,0.5,6.0,linear,NAN,recessivelethal
0.125,0.5,0.025,0.5,6.0,linear,NAN,haplolethal
0.125,0.5,0.05,0.5,6.0,linear,NAN,haplolethal
0.125,0.5,0.075,0.5,6.0,linear,NAN,haplolethal
0.125,0.5,0.075,0.5,6.0,linear,NAN,recessivelethal
0.125,0.5,0.1,0.5,6.0,linear,NAN,haplolethal
0.125,0.5,0.125,0.5,6.0,linear,221.100,haplolethal
0.125,0.5,0.15,0.5,6.0,linear,170.300,haplolethal
0.125,0.5,0.15,0.5,6.0,linear,NAN,recessivelethal
0.125,0.5,0.175,0.5,6.0,linear,141.050,haplolethal
0.125,0.5,0.2,0.5,6.0,linear,125.200,haplolethal
0.125,0.5,0.225,0.5,6.0,linear,110.800,haplolethal
0.125,0.5,0.225,0.5,6.0,linear,NAN,recessivelethal
0.125,0.5,0.25,0.5,6.0,linear,103.600,haplolethal
0.125,0.5,0.275,0.5,6.0,linear,95.350,haplolethal
0.125,0.5,0.3,0.5,6.0,linear,89.500,haplolethal
0.125,0.5,0.3,0.5,6.0,linear,NAN,recessivelethal
0.125,0.5,0.325,0.5,6.0,linear,85.050,haplolethal
0.125,0.5,0.35,0.5,6.0,linear,80.500,haplolethal
0.125,0.5,0.375,0.5,6.0,linear,76.950,haplolethal
0.125,0.5,0.375,0.5,6.0,linear,NAN,recessivelethal
0.125,0.5,0.4,0.5,6.0,linear,73.950,haplolethal
0.125,0.5,0.425,0.5,6.0,linear,72.200,haplolethal
0.125,0.5,0.45,0.5,6.0,linear,69.350,haplolethal
0.125,0.5,0.45,0.5,6.0,linear,NAN,recessivelethal
0.125,0.5,0.475,0.5,6.0,linear,68.100,haplolethal
0.125,0.5,0.5,0.5,6.0,linear,66.300,haplolethal
0.125,0.5,0.525,0.5,6.0,linear,NAN,recessivelethal
0.125,0.5,0.6,0.5,6.0,linear,NAN,recessivelethal
0.125,0.5,0.675,0.5,6.0,linear,299.000,recessivelethal
0.125,0.5,0.75,0.5,6.0,linear,186.800,recessivelethal
0.125,0.5,0.825,0.5,6.0,linear,143.550,recessivelethal
0.125,0.5,0.9,0.5,6.0,linear,124.350,recessivelethal
0.125,0.5,0.975,0.5,6.0,linear,112.600,recessivelethal
0.125,0.5,1.05,0.5,6.0,linear,105.300,recessivelethal
0.125,0.5,1.125,0.5,6.0,linear,96.550,recessivelethal
0.125,0.5,1.2,0.5,6.0,linear,93.750,recessivelethal
0.125,0.5,1.275,0.5,6.0,linear,88.250,recessivelethal
0.125,0.5,1.35,0.5,6.0,linear,84.400,recessivelethal
0.125,0.5,1.425,0.5,6.0,linear,84.050,recessivelethal
0.125,0.5,1.5,0.5,6.0,linear,78.800,recessivelethal
0.150,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.150,0.5,0.0,0.5,6.0,linear,NAN,recessivelethal
0.150,0.5,0.025,0.5,6.0,linear,NAN,haplolethal
0.150,0.5,0.05,0.5,6.0,linear,NAN,haplolethal
0.150,0.5,0.075,0.5,6.0,linear,NAN,haplolethal
0.150,0.5,0.075,0.5,6.0,linear,NAN,recessivelethal
0.150,0.5,0.1,0.5,6.0,linear,212.450,haplolethal
0.150,0.5,0.125,0.5,6.0,linear,162.500,haplolethal
0.150,0.5,0.15,0.5,6.0,linear,135.950,haplolethal
0.150,0.5,0.15,0.5,6.0,linear,NAN,recessivelethal
0.150,0.5,0.175,0.5,6.0,linear,120.000,haplolethal
0.150,0.5,0.2,0.5,6.0,linear,109.500,haplolethal
0.150,0.5,0.225,0.5,6.0,linear,99.950,haplolethal
0.150,0.5,0.225,0.5,6.0,linear,NAN,recessivelethal
0.150,0.5,0.25,0.5,6.0,linear,93.900,haplolethal
0.150,0.5,0.275,0.5,6.0,linear,87.200,haplolethal
0.150,0.5,0.3,0.5,6.0,linear,83.250,haplolethal
0.150,0.5,0.3,0.5,6.0,linear,NAN,recessivelethal
0.150,0.5,0.325,0.5,6.0,linear,79.300,haplolethal
0.150,0.5,0.35,0.5,6.0,linear,76.150,haplolethal
0.150,0.5,0.375,0.5,6.0,linear,73.050,haplolethal
0.150,0.5,0.375,0.5,6.0,linear,NAN,recessivelethal
0.150,0.5,0.4,0.5,6.0,linear,70.750,haplolethal
0.150,0.5,0.425,0.5,6.0,linear,67.900,haplolethal
0.150,0.5,0.45,0.5,6.0,linear,66.250,haplolethal
0.150,0.5,0.45,0.5,6.0,linear,NAN,recessivelethal
0.150,0.5,0.475,0.5,6.0,linear,63.950,haplolethal
0.150,0.5,0.5,0.5,6.0,linear,62.950,haplolethal
0.150,0.5,0.525,0.5,6.0,linear,NAN,recessivelethal
0.150,0.5,0.6,0.5,6.0,linear,NAN,recessivelethal
0.150,0.5,0.675,0.5,6.0,linear,197.100,recessivelethal
0.150,0.5,0.75,0.5,6.0,linear,154.450,recessivelethal
0.150,0.5,0.825,0.5,6.0,linear,132.450,recessivelethal
0.150,0.5,0.9,0.5,6.0,linear,120.000,recessivelethal
0.150,0.5,0.975,0.5,6.0,linear,113.850,recessivelethal
0.150,0.5,1.05,0.5,6.0,linear,106.600,recessivelethal
0.150,0.5,1.125,0.5,6.0,linear,100.050,recessivelethal
0.150,0.5,1.2,0.5,6.0,linear,95.550,recessivelethal
0.150,0.5,1.275,0.5,6.0,linear,90.750,recessivelethal
0.150,0.5,1.35,0.5,6.0,linear,89.350,recessivelethal
0.150,0.5,1.425,0.5,6.0,linear,85.700,recessivelethal
0.150,0.5,1.5,0.5,6.0,linear,83.650,recessivelethal
0.175,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.175,0.5,0.0,0.5,6.0,linear,NAN,recessivelethal
0.175,0.5,0.025,0.5,6.0,linear,NAN,haplolethal
0.175,0.5,0.05,0.5,6.0,linear,NAN,haplolethal
0.175,0.5,0.075,0.5,6.0,linear,220.350,haplolethal
0.175,0.5,0.075,0.5,6.0,linear,NAN,recessivelethal
0.175,0.5,0.1,0.5,6.0,linear,163.400,haplolethal
0.175,0.5,0.125,0.5,6.0,linear,135.600,haplolethal
0.175,0.5,0.15,0.5,6.0,linear,117.850,haplolethal
0.175,0.5,0.15,0.5,6.0,linear,NAN,recessivelethal
0.175,0.5,0.175,0.5,6.0,linear,107.200,haplolethal
0.175,0.5,0.2,0.5,6.0,linear,97.950,haplolethal
0.175,0.5,0.225,0.5,6.0,linear,91.400,haplolethal
0.175,0.5,0.225,0.5,6.0,linear,NAN,recessivelethal
0.175,0.5,0.25,0.5,6.0,linear,85.850,haplolethal
0.175,0.5,0.275,0.5,6.0,linear,81.250,haplolethal
0.175,0.5,0.3,0.5,6.0,linear,77.550,haplolethal
0.175,0.5,0.3,0.5,6.0,linear,NAN,recessivelethal
0.175,0.5,0.325,0.5,6.0,linear,74.300,haplolethal
0.175,0.5,0.35,0.5,6.0,linear,71.450,haplolethal
0.175,0.5,0.375,0.5,6.0,linear,69.650,haplolethal
0.175,0.5,0.375,0.5,6.0,linear,NAN,recessivelethal
0.175,0.5,0.4,0.5,6.0,linear,67.750,haplolethal
0.175,0.5,0.425,0.5,6.0,linear,65.200,haplolethal
0.175,0.5,0.45,0.5,6.0,linear,63.550,haplolethal
0.175,0.5,0.45,0.5,6.0,linear,NAN,recessivelethal
0.175,0.5,0.475,0.5,6.0,linear,61.750,haplolethal
0.175,0.5,0.5,0.5,6.0,linear,61.600,haplolethal
0.175,0.5,0.525,0.5,6.0,linear,NAN,recessivelethal
0.175,0.5,0.6,0.5,6.0,linear,209.550,recessivelethal
0.175,0.5,0.675,0.5,6.0,linear,167.400,recessivelethal
0.175,0.5,0.75,0.5,6.0,linear,143.950,recessivelethal
0.175,0.5,0.825,0.5,6.0,linear,129.550,recessivelethal
0.175,0.5,0.9,0.5,6.0,linear,120.500,recessivelethal
0.175,0.5,0.975,0.5,6.0,linear,113.250,recessivelethal
0.175,0.5,1.05,0.5,6.0,linear,111.150,recessivelethal
0.175,0.5,1.125,0.5,6.0,linear,108.200,recessivelethal
0.175,0.5,1.2,0.5,6.0,linear,101.400,recessivelethal
0.175,0.5,1.275,0.5,6.0,linear,99.700,recessivelethal
0.175,0.5,1.35,0.5,6.0,linear,96.800,recessivelethal
0.175,0.5,1.425,0.5,6.0,linear,95.050,recessivelethal
0.175,0.5,1.5,0.5,6.0,linear,92.500,recessivelethal
0.200,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.200,0.5,0.0,0.5,6.0,linear,NAN,recessivelethal
0.200,0.5,0.025,0.5,6.0,linear,NAN,haplolethal
0.200,0.5,0.05,0.5,6.0,linear,255.200,haplolethal
0.200,0.5,0.075,0.5,6.0,linear,171.900,haplolethal
0.200,0.5,0.075,0.5,6.0,linear,NAN,recessivelethal
0.200,0.5,0.1,0.5,6.0,linear,137.300,haplolethal
0.200,0.5,0.125,0.5,6.0,linear,119.600,haplolethal
0.200,0.5,0.15,0.5,6.0,linear,106.500,haplolethal
0.200,0.5,0.15,0.5,6.0,linear,NAN,recessivelethal
0.200,0.5,0.175,0.5,6.0,linear,97.600,haplolethal
0.200,0.5,0.2,0.5,6.0,linear,90.900,haplolethal
0.200,0.5,0.225,0.5,6.0,linear,85.450,haplolethal
0.200,0.5,0.225,0.5,6.0,linear,NAN,recessivelethal
0.200,0.5,0.25,0.5,6.0,linear,80.950,haplolethal
0.200,0.5,0.275,0.5,6.0,linear,76.550,haplolethal
0.200,0.5,0.3,0.5,6.0,linear,73.650,haplolethal
0.200,0.5,0.3,0.5,6.0,linear,NAN,recessivelethal
0.200,0.5,0.325,0.5,6.0,linear,71.450,haplolethal
0.200,0.5,0.35,0.5,6.0,linear,68.750,haplolethal
0.200,0.5,0.375,0.5,6.0,linear,66.250,haplolethal
0.200,0.5,0.375,0.5,6.0,linear,NAN,recessivelethal
0.200,0.5,0.4,0.5,6.0,linear,64.300,haplolethal
0.200,0.5,0.425,0.5,6.0,linear,63.700,haplolethal
0.200,0.5,0.45,0.5,6.0,linear,61.750,haplolethal
0.200,0.5,0.45,0.5,6.0,linear,NAN,recessivelethal
0.200,0.5,0.475,0.5,6.0,linear,60.100,haplolethal
0.200,0.5,0.5,0.5,6.0,linear,58.950,haplolethal
0.200,0.5,0.525,0.5,6.0,linear,241.850,recessivelethal
0.200,0.5,0.6,0.5,6.0,linear,187.650,recessivelethal
0.200,0.5,0.675,0.5,6.0,linear,158.200,recessivelethal
0.200,0.5,0.75,0.5,6.0,linear,144.800,recessivelethal
0.200,0.5,0.825,0.5,6.0,linear,136.550,recessivelethal
0.200,0.5,0.9,0.5,6.0,linear,127.250,recessivelethal
0.200,0.5,0.975,0.5,6.0,linear,122.650,recessivelethal
0.200,0.5,1.05,0.5,6.0,linear,119.600,recessivelethal
0.200,0.5,1.125,0.5,6.0,linear,114.900,recessivelethal
0.200,0.5,1.2,0.5,6.0,linear,111.800,recessivelethal
0.200,0.5,1.275,0.5,6.0,linear,109.250,recessivelethal
0.200,0.5,1.35,0.5,6.0,linear,103.650,recessivelethal
0.200,0.5,1.425,0.5,6.0,linear,105.250,recessivelethal
0.200,0.5,1.5,0.5,6.0,linear,101.850,recessivelethal
0.225,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.225,0.5,0.0,0.5,6.0,linear,NAN,recessivelethal
0.225,0.5,0.025,0.5,6.0,linear,NAN,haplolethal
0.225,0.5,0.05,0.5,6.0,linear,194.050,haplolethal
0.225,0.5,0.075,0.5,6.0,linear,146.100,haplolethal
0.225,0.5,0.075,0.5,6.0,linear,NAN,recessivelethal
0.225,0.5,0.1,0.5,6.0,linear,123.900,haplolethal
0.225,0.5,0.125,0.5,6.0,linear,107.500,haplolethal
0.225,0.5,0.15,0.5,6.0,linear,97.750,haplolethal
0.225,0.5,0.15,0.5,6.0,linear,NAN,recessivelethal
0.225,0.5,0.175,0.5,6.0,linear,91.050,haplolethal
0.225,0.5,0.2,0.5,6.0,linear,84.850,haplolethal
0.225,0.5,0.225,0.5,6.0,linear,79.800,haplolethal
0.225,0.5,0.225,0.5,6.0,linear,NAN,recessivelethal
0.225,0.5,0.25,0.5,6.0,linear,76.000,haplolethal
0.225,0.5,0.275,0.5,6.0,linear,73.550,haplolethal
0.225,0.5,0.3,0.5,6.0,linear,71.200,haplolethal
0.225,0.5,0.3,0.5,6.0,linear,NAN,recessivelethal
0.225,0.5,0.325,0.5,6.0,linear,68.000,haplolethal
0.225,0.5,0.35,0.5,6.0,linear,66.500,haplolethal
0.225,0.5,0.375,0.5,6.0,linear,64.300,haplolethal
0.225,0.5,0.375,0.5,6.0,linear,NAN,recessivelethal
0.225,0.5,0.4,0.5,6.0,linear,62.800,haplolethal
0.225,0.5,0.425,0.5,6.0,linear,61.350,haplolethal
0.225,0.5,0.45,0.5,6.0,linear,59.750,haplolethal
0.225,0.5,0.45,0.5,6.0,linear,272.600,recessivelethal
0.225,0.5,0.475,0.5,6.0,linear,58.000,haplolethal
0.225,0.5,0.5,0.5,6.0,linear,58.200,haplolethal
0.225,0.5,0.525,0.5,6.0,linear,213.900,recessivelethal
0.225,0.5,0.6,0.5,6.0,linear,181.000,recessivelethal
0.225,0.5,0.675,0.5,6.0,linear,161.800,recessivelethal
0.225,0.5,0.75,0.5,6.0,linear,156.300,recessivelethal
0.225,0.5,0.825,0.5,6.0,linear,147.600,recessivelethal
0.225,0.5,0.9,0.5,6.0,linear,138.150,recessivelethal
0.225,0.5,0.975,0.5,6.0,linear,134.000,recessivelethal
0.225,0.5,1.05,0.5,6.0,linear,130.450,recessivelethal
